Date,Total weeks on chart for top 40
1973-03-29,229
1973-04-05,213
1973-04-12,205
1973-04-19,208
1973-04-26,223
1973-05-03,222
1973-05-10,214
1973-05-17,233
1973-05-24,219
1973-05-31,215
1973-06-07,222
1973-06-14,202
1973-06-21,230
1973-06-28,210
1973-07-05,207
1973-07-12,223
1973-07-19,222
1973-07-26,236
1973-08-02,241
1973-08-09,242
1973-08-16,250
1973-08-23,230
1973-08-30,234
1973-09-06,205
1973-09-13,220
1973-09-20,244
1973-09-27,253
1973-10-04,272
1973-10-11,256
1973-10-18,272
1973-10-25,244
1973-11-01,230
1973-11-08,229
1973-11-15,192
1973-11-22,231
1973-11-29,210
1973-12-06,200
1973-12-13,196
1973-12-20,236
1973-12-27,276
1974-01-03,309
1974-01-10,343
1974-01-17,305
1974-01-24,289
1974-01-31,272
1974-02-07,259
1974-02-14,244
1974-02-21,201
1974-02-28,200
1974-03-07,201
1974-03-14,165
1974-03-21,168
1974-03-28,189
1974-04-04,185
1974-04-11,193
1974-04-18,194
1974-04-25,204
1974-05-02,198
1974-05-09,197
1974-05-16,191
1974-05-23,198
1974-05-30,203
1974-06-06,185
1974-06-13,170
1974-06-20,178
1974-06-27,172
1974-07-04,181
1974-07-11,169
1974-07-18,174
1974-07-25,163
1974-08-01,168
1974-08-08,171
1974-08-15,171
1974-08-22,180
1974-08-29,193
1974-09-05,193
1974-09-12,192
1974-09-19,210
1974-09-26,209
1974-10-03,209
1974-10-10,208
1974-10-17,172
1974-10-24,184
1974-10-31,179
1974-11-07,184
1974-11-14,168
1974-11-21,182
1974-11-28,165
1974-12-05,164
1974-12-12,166
1974-12-19,184
1974-12-26,224
1975-01-02,228
1975-01-09,250
1975-01-16,263
1975-01-23,212
1975-01-30,201
1975-02-06,172
1975-02-13,174
1975-02-20,181
1975-02-27,188
1975-03-06,180
1975-03-13,182
1975-03-20,167
1975-03-27,179
1975-04-03,186
1975-04-10,176
1975-04-17,168
1975-04-24,176
1975-05-01,182
1975-05-08,167
1975-05-15,165
1975-05-22,173
1975-05-29,179
1975-06-05,190
1975-06-12,178
1975-06-19,177
1975-06-26,185
1975-07-03,183
1975-07-10,174
1975-07-17,157
1975-07-24,170
1975-07-31,180
1975-08-07,176
1975-08-14,177
1975-08-21,178
1975-08-28,182
1975-09-04,177
1975-09-11,174
1975-09-18,174
1975-09-25,184
1975-10-02,189
1975-10-09,164
1975-10-16,169
1975-10-23,185
1975-10-30,181
1975-11-06,190
1975-11-13,195
1975-11-20,182
1975-11-27,158
1975-12-04,147
1975-12-11,168
1975-12-18,163
1975-12-25,170
1976-01-01,210
1976-01-08,209
1976-01-15,202
1976-01-22,181
1976-01-29,171
1976-02-05,166
1976-02-12,178
1976-02-19,194
1976-02-26,193
